two_theta,intensity
19.48,0.000256
19.5,0.0002673
19.52,0.0002656
19.54,0.0002267
19.56,0.0001474
19.58,6.31e-05
19.6,0
19.62,-4.62e-05
19.64,-7.58e-05
19.66,-9.4e-05
19.68,-0.0001043
19.7,-0.0001083
19.72,-0.0001062
19.74,-9.76e-05
19.76,-7.94e-05
19.78,-5e-05
19.8,0
19.82,6.53e-05
19.84,0.0001852
19.86,0.0003759
19.88,0.0006115
19.9,0.0007458
19.92,0.0006309
19.94,0.0003938
19.96,0.0001942
19.98,6.75e-05
20,0
20.02,-6.23e-05
20.04,-9.89e-05
20.06,-0.0001176
20.08,-0.000198
20.1,-0.0001861
20.12,-0.0001596
20.14,-0.0001169
20.16,-0.0001328
20.18,-4.63e-05
20.2,6.79e-05
20.22,0.0002171
20.24,0.0004071
20.26,0.0009402
20.28,0.0012573
20.3,0.0016701
20.32,0.0022143
20.34,0.0029402
20.36,0.0039226
20.38,0.0052897
20.4,0.0074727
20.42,0.0106895
20.44,0.0160103
20.46,0.0247558
20.48,0.0381673
20.5,0.0551898
20.52,0.0686488
20.54,0.071418
20.56,0.0636838
20.58,0.0487188
20.6,0.0346726
20.62,0.025708
20.64,0.0211306
20.66,0.0184338
20.68,0.0149763
20.7,0.0109328
20.72,0.0076312
20.74,0.005398
20.76,0.0040416
20.78,0.0033416
20.8,0.0034243
20.82,0.0039091
20.84,0.0051317
20.86,0.00708
20.88,0.0089448
20.9,0.0088558
20.92,0.0066829
20.94,0.0042728
20.96,0.0025064
20.98,0.0013876
21,0.0007203
21.02,0.0003309
21.04,0.0001018
21.06,-2.66e-05
21.08,-8.07e-05
21.1,-6.8e-05
21.12,1.95e-05
21.14,0.0003131
21.16,0.0006033
21.18,0.0009841
21.2,0.0013086
21.22,0.0013872
21.24,0.0013242
21.26,0.0013463
21.28,0.0014688
21.3,0.0017099
21.32,0.0020554
21.34,0.0024994
21.36,0.0030423
21.38,0.0037002
21.4,0.0044941
21.42,0.0057422
21.44,0.0069265
21.46,0.0083839
21.48,0.0101965
21.5,0.0124882
21.52,0.0154402
21.54,0.0193339
21.56,0.0246416
21.58,0.0322415
21.6,0.0438732
21.62,0.0628377
