two_theta,intensity
19.59,0.1138298
19.61,0.1010638
19.63,0.037234
19.65,0.0228723
19.67,0.0223404
19.69,0.0228723
19.71,0.0234043
19.73,0.0255319
19.75,0.0324468
19.77,0.0382979
19.79,0.0404255
19.81,0.043617
19.83,0.0356383
19.85,0.0175532
19.87,0.0143617
19.88,0.0154255
19.9,0.0117021
19.92,0.0132979
19.94,0.0111702
19.96,0.0095745
19.98,0.0101064
20,0.0101064
20.02,0.006383
20.04,0.0090426
20.06,0.0101064
20.08,0.0101064
20.1,0.0090426
20.12,0.0132979
20.14,0.012234
20.16,0.0074468
20.18,0.0069149
20.2,0.0117021
20.22,0.0090426
20.24,0.0138298
20.26,0.0106383
20.28,0.0117021
20.3,0.0074468
20.32,0.0085106
20.34,0.0106383
20.36,0.012766
20.38,0.012234
20.4,0.012766
20.42,0.0175532
20.44,0.0164894
20.46,0.012766
20.48,0.0170213
20.5,0.0175532
20.52,0.0170213
20.53,0.0223404
20.55,0.0239362
20.57,0.031383
20.59,0.0457447
20.61,0.0356383
20.63,0.0297872
20.65,0.0218085
20.67,0.0324468
20.69,0.0196809
20.71,0.0148936
20.73,0.0148936
20.75,0.0164894
20.77,0.012766
20.79,0.0202128
20.81,0.0138298
20.83,0.012766
20.85,0.018617
20.87,0.0143617
20.89,0.018617
20.91,0.0234043
20.93,0.0239362
20.95,0.0255319
20.97,0.0351064
20.99,0.0319149
21.01,0.0388298
21.03,0.0462766
21.05,0.0771277
21.07,0.1611702
21.09,0.3984042
21.11,0.6984043
21.13,0.9999999
21.15,0.8265957
21.16,0.5159574
21.18,0.4755319
21.2,0.2420213
21.22,0.087234
21.24,0.0484043
21.26,0.0335106
21.28,0.0420213
21.3,0.0606383
21.32,0.0691489
21.34,0.1095745
21.36,0.1207447
21.38,0.1031915
21.4,0.0760638
21.42,0.0680851
21.44,0.0478723
21.46,0.0297872
21.48,0.0154255
21.5,0.0148936
21.52,0.0148936
21.54,0.0180851
21.56,0.0143617
21.58,0.018617
21.6,0.0159575
21.62,0.0228723
21.64,0.0175532
21.66,0.0180851
21.68,0.0196809
21.7,0.0132979
21.72,0.0212766
21.74,0.0170213
21.76,0.0154255
21.78,0.0164894
