two_theta,intensity
15.28,0.6019376
15.3,0.601809
15.32,0.6017004
15.34,0.6016083
15.36,0.60153
15.38,0.6014633
15.4,0.6014063
15.42,0.601358
15.44,0.601317
15.46,0.6012827
15.48,0.6012541
15.5,0.6012309
15.52,0.6012124
15.54,0.601006
15.56,0.6010013
15.58,0.6010004
15.6,0.6010031
15.62,0.6010094
15.64,0.6010035
15.66,0.6010171
15.68,0.6010342
15.7,0.601055
15.72,0.6010795
15.74,0.6011093
15.76,0.6011031
15.78,0.6011412
15.8,0.6011839
15.82,0.6012319
15.84,0.6012855
15.86,0.6013453
15.88,0.6014121
15.9,0.6014867
15.92,0.6015701
15.94,0.6016634
15.96,0.6017681
15.98,0.6018861
16,0.6020192
16.02,0.6021702
16.04,0.6023421
16.06,0.6025389
16.08,0.6027655
16.1,0.6030283
16.12,0.6033353
16.14,0.6036971
16.16,0.6041277
16.18,0.6046459
16.2,0.6052777
16.22,0.6060596
16.24,0.6070439
16.26,0.6083091
16.28,0.6099792
16.3,0.6122678
16.32,0.6155803
16.34,0.6207103
16.36,0.629092
16.38,0.6428814
16.4,0.6642634
16.42,0.6927
16.44,0.7165812
16.46,0.7180375
16.48,0.7008541
16.5,0.6777596
16.52,0.6577799
16.54,0.6455457
16.56,0.6409848
16.58,0.6430515
16.6,0.6510174
16.62,0.6641081
16.64,0.6837209
16.66,0.7121964
16.68,0.7393289
16.7,0.7383374
16.72,0.7074771
16.74,0.6733211
16.76,0.6483708
16.78,0.6325844
16.8,0.6230934
16.82,0.6173158
16.84,0.6135871
16.86,0.6110098
16.88,0.6091311
16.9,0.6077119
16.92,0.6066124
16.94,0.6057439
16.96,0.6050469
16.98,0.6044806
17,0.6040164
17.02,0.6036345
17.04,0.6033217
17.06,0.6030715
17.08,0.6028852
17.1,0.6027841
17.12,0.6027739
17.14,0.603137
17.16,0.6033636
17.18,0.6035208
17.2,0.60333
17.22,0.602885
17.24,0.6024628
17.26,0.6021536
17.28,0.6019435
17.3,0.6018004
17.32,0.6016985
17.34,0.6016215
17.36,0.601561
17.38,0.6015123
17.4,0.601473
17.42,0.6014415
17.44,0.6014168
17.46,0.6013981
17.48,0.6013849
17.5,0.601377
17.52,0.6013741
17.54,0.6013762
17.56,0.6013833
17.58,0.6013961
17.6,0.6014157
17.62,0.6014386
17.64,0.6014676
17.66,0.6015031
17.68,0.6015458
17.7,0.6015965
17.72,0.6016566
17.74,0.6017272
17.76,0.6018105
17.78,0.6019086
17.8,0.6020256
17.82,0.6021643
17.84,0.6023313
17.86,0.6025345
17.88,0.6027853
17.9,0.6031003
17.92,0.6034153
17.94,0.6039237
17.96,0.6046672
17.98,0.605762
18,0.6074919
18.02,0.610342
18.04,0.6149632
18.06,0.6218174
18.08,0.6297747
18.1,0.6341861
18.12,0.6302565
18.14,0.6232663
18.16,0.6179889
18.18,0.6151428
18.2,0.6140887
18.22,0.6131062
18.24,0.6116335
18.26,0.6103936
18.28,0.6097652
18.3,0.6097243
18.32,0.6102144
18.34,0.6111047
18.36,0.6124427
18.38,0.6143125
18.4,0.6168844
18.42,0.6204613
18.44,0.6256037
18.46,0.6334234
18.48,0.6461145
18.5,0.6675264
18.52,0.7030294
18.54,0.7570282
18.56,0.82284
18.58,0.8616959
18.6,0.8323785
18.62,0.7671704
18.64,0.7103029
18.66,0.6721051
18.68,0.6488828
