two_theta,intensity
26.44,0.2147364
26.46,0.2191857
26.48,0.2091358
26.5,0.187223
26.52,0.1732189
26.54,0.1513061
26.56,0.1148942
26.58,0.1004507
26.6,0.1022638
26.62,0.0865021
26.64,0.068983
26.66,0.0664037
26.68,0.0510827
26.7,0.0326861
26.72,0.0279099
26.74,0.022255
26.76,0.0183575
26.78,0.022808
26.8,0.015835
26.82,0.0229217
26.84,0.011555
26.87,0.0151278
26.89,0.0090345
26.91,0.0143648
26.93,0.0065141
26.95,0.0201923
26.97,0.0162959
26.99,0.01196
27.01,0.0128966
27.03,0.0041671
27.05,0.0059825
27.07,0.0034049
27.09,0.0122509
27.11,-0.0057046
27.13,-0.002131
27.15,0.0036394
27.17,-0.0015744
27.19,-0.000637
27.21,0.0117239
27.23,0.0078282
27.25,0.00569
27.27,0.0136578
27.29,0.010202
27.31,0.0067461
27.33,0.0125171
27.36,0.00994
27.38,0.0152715
27.4,0.0219212
27.42,0.0536148
27.44,0.0914595
27.46,0.1306223
27.48,0.1324392
27.5,0.1395285
27.52,0.132558
27.54,0.1198757
27.56,0.0953305
27.58,0.0716641
27.6,0.0427253
27.62,0.0256493
27.64,0.0239512
27.66,0.0174201
27.68,0.0113284
27.7,0.0149027
27.72,0.0079322
27.74,0.0053554
27.76,0.0076116
27.78,0.0037167
27.8,0.0046549
27.82,0.0064717
27.85,0.0021374
27.87,0
27.89,0.004848
27.91,0.0009086
27.93,0.0022417
27.95,0.0031354
27.97,-0.0025614
27.99,-0.0034252
28.01,0.0066952
28.03,0.000559
28.05,0.0040889
28.07,0.0098156
28.09,0.0006042
28.11,0.0138004
28.13,0.0072251
28.15,0.0177852
28.17,0.0164824
28.19,0.0204519
28.21,0.0138766
28.23,0.0094982
28.25,0.0055592
28.27,0.0104074
28.29,0.0082263
28.31,0.0029695
28.34,0.0144088
28.36,0.0214543
28.38,0.0236668
28.4,0.0364241
28.42,0.0478633
28.44,0.0470003
28.46,0.0593182
28.48,0.0457135
28.5,0.0373818
28.52,0.0334437
28.54,0.0290662
28.56,0.0167801
28.58,0.0185538
28.6,0.0176913
28.62,0.0062839
28.64,0.008497
28.66,0.0071951
28.68,0.0089688
28.7,0.0072282
28.72,-0.0019817
28.74,0.0063832
28.76,0.0020064
28.78,0.007735
28.8,0.0064338
28.83,0.0126018
28.85,0.0121793
28.87,0.0161504
28.89,0.0091374
28.91,0.0131093
28.93,0.0100514
28.95,0.0109477
28.97,0.0030567
28.99,0.0013168
29.01,0.0008951
29.03,0.004867
29.05,0.0066421
29.07,-0.0003702
29.09,0.0036017
29.11,0.0009839
29.13,0.0058354
29.15,0.004975
29.17,0.0107052
29.19,0.0116024
29.21,0.0182113
29.23,0.0235021
29.25,0.0270355
29.27,0.0332051
29.29,0.0349809
29.32,0.040712
29.34,0.0372163
29.36,0.0218578
29.38,0.0223164
29.4,0.0210176
