two_theta,intensity
14.62,0.024332
14.64,0.0322671
14.66,0.0316941
14.68,0.019708
14.7,0.0122872
14.72,0.0171096
14.74,0.0271197
14.76,0.0462604
14.78,0.0525354
14.8,0.0521699
14.82,0.0451645
14.84,0.0319338
14.86,0.0174579
14.88,0.0125277
14.9,0.0088424
14.92,-0.0016907
14.94,0.0004345
14.96,0.0021446
14.98,0.0082124
15,0.0080549
15.02,-0.0035153
15.04,-0.0011823
15.06,0.0028109
15.09,0.0061815
15.11,0.0045718
15.13,0.0010945
15.15,0.0055027
15.17,-0.0006723
15.19,0.004566
15.21,0.0017112
15.23,0.000932
15.25,0.0047181
15.27,0.0031088
15.29,0.0019146
15.31,0.0088133
15.33,0.0028463
15.35,0.0018596
15.37,-0.0012023
15.39,-0.0013589
15.41,0.0020121
15.43,0.0037234
15.45,0.0004545
15.47,0.004656
15.49,0.000142
15.51,0.0001932
15.53,0.0050172
15.55,0.0038234
15.58,0.0026296
15.6,0.0024733
15.62,0.0008645
15.64,0.0040288
15.66,0.0034579
15.68,0.0082823
15.7,0.009994
15.72,0.0160635
15.74,0.0215105
15.76,0.0452185
15.78,0.0544006
15.8,0.0733358
15.82,0.0814804
15.84,0.0705343
15.86,0.0554379
15.88,0.0318336
15.9,0.0244151
15.92,0.0207319
15.94,0.0338572
15.96,0.0440772
15.98,0.0422616
16,0.0350507
16.02,0.022237
16.04,0.017309
16.07,0.0107209
16.09,0.0109808
16.11,0.0077129
16.13,-0.0019879
16.15,0.00678
16.17,0.0064173
16.19,0.0056395
16.21,0.0002965
16.23,0.0030465
16.25,0.0026841
16.27,0.0021141
16.29,0.006317
16.31,0.0040869
16.33,0.0087048
16.35,0.0120776
16.37,0.0133753
16.39,0.0165405
16.41,0.0120279
16.43,0.0064776
16.45,0.0046629
16.47,0.0003579
16.49,0.0024859
16.51,0.0027462
16.53,0.0007239
16.56,0.006172
16.58,-5e-07
16.6,-0.0011927
16.62,0.0015577
16.64,0.0045157
16.66,0.000211
16.68,0.0025466
16.7,0.0079949
16.72,0.00037
16.74,-0.0016521
16.76,0.0021361
16.78,-0.0005086
16.8,0.0018271
16.82,0.0052002
16.84,0.0048382
16.86,0.0063439
16.88,0.0041144
16.9,0.0004323
16.92,-0.0020047
16.94,-8.4e-05
16.96,0.0034968
16.98,-0.0016379
17,0.0044331
17.02,0.0019961
17.05,0.0030867
17.07,0.0074977
17.09,0.0092109
17.11,0.0121693
17.13,0.0203154
17.15,0.0423649
17.17,0.0455307
17.19,0.0474515
17.21,0.0327713
17.23,0.0222414
17.25,0.0102589
17.27,0.0132172
17.29,0.0095352
17.31,0.0056456
17.33,0.0106791
17.35,0.0092797
17.37,0.0068427
17.39,0.0091785
17.41,0.0125519
17.43,0.0096999
17.45,0
17.47,0.0052255
17.49,-0.0011697
17.51,0.0034333
17.54,0.0092814
17.56,0.0037163
17.58,0.0006413
17.6,0.0021316
17.62,0.0019618
17.64,0.0044896
17.66,0.0030748
17.68,0.0078852
17.7,0.0062629
17.72,0.0040179
17.74,0.0119411
17.76,0.0200718
17.78,0.0259198
17.8,0.0311453
17.82,0.0249577
17.84,0.0218827
17.86,0.0142425
17.88,0.0107525
17.9,0.0078851
17.92,0.0056401
17.94,0.0017351
17.96,0.0075832
17.98,0.0051308
18,0.0039234
18.03,0.0097715
18.05,0.0044139
18.07,0.0054891
18.09,0.0055269
18.11,0.0086773
18.13,-0.000623
18.15,0.0027349
18.17,7.49e-05
18.19,0.0001127
18.21,-0.0002647
18.23,0.0030933
18.25,0.0014709
18.27,0.0015086
18.29,0.0027914
18.31,0.0001315
18.33,0.0022443
18.35,-0.0014532
18.37,0.0031498
18.39,0.0058852
18.41,0.0030178
18.43,0.0063757
18.45,0.0028857
18.47,0.0074887
18.49,0.0039987
18.52,0.0123369
18.54,0.0208827
18.56,0.0342012
18.58,0.0564427
18.6,0.075364
18.62,0.0932477
18.64,0.0924554
18.66,0.0924932
18.68,0.1004163
18.7,0.1203752
18.72,0.0971716
18.74,0.0880788
18.76,0.0580273
18.78,0.0400115
18.8,0.0190906
18.82,0.0131105
18.84,0.0067153
18.86,0.0117334
18.88,0.0072058
18.9,0.0014332
18.92,0.0087339
18.94,0.0008862
18.96,0.0069418
18.98,0.0059419
19.01,0.0047346
19.03,0.0064324
19.05,0.002735
19.07,0.0075455
19.09,0.0036405
19.11,0.0096961
19.13,0.0070362
19.15,0.0066589
19.17,0.0089793
19.19,0.0065269
19.21,0.0036594
19.23,0.0072249
19.25,0.0039424
19.27,0.0062628
19.29,0.005678
19.31,0.0050932
19.33,0.0013957
19.35,0.0022635
19.37,0.0002262
19.39,0.0013015
19.41,0.0036218
19.43,0.0032446
19.45,0.0041123
19.47,0.00332
19.5,3.76e-05
19.52,0.0029805
19.54,0.0028107
19.56,0.0016034
19.58,-0.001264
19.6,0.0043765
19.62,0.0044143
19.64,0.0042445
19.66,0.0015846
19.68,0.0016224
19.7,0
19.72,0.0020747
19.74,0.0008293
19.76,0.0004139
19.78,0.0024886
19.8,0.0053934
19.82,0.004978
19.84,0.0045626
19.86,0.000827
19.88,0.0068444
19.9,0.0058065
19.92,-0.0002115
19.94,0.0022786
19.96,-0.0008342
19.99,0.0029009
20.01,0.0033159
20.03,0.0029008
20.05,0.0012406
20.07,0.001863
20.09,0.0022779
20.11,0.0022778
20.13,0.008711
20.15,0.0053912
20.17,0.003939
20.19,0.0033168
20.21,0.0022796
20.23,0.0037325
20.25,-0.0006249
20.27,0.0045632
20.29,0.003526
20.31,0.0016587
20.33,0.0045648
20.35,0.0033207
20.37,0.0045667
20.39,0.0039451
20.41,0.0056061
